EventID,EventName,ExperiencePurpose,PlayerPerceivedChange,PresentationMode,Title,Body,QuestID,QuestStepID,ChoiceSetID,EventResult1Type,EventResult1TargetType,EventResult1TargetID,EventResult1Value,EventResult2Type,EventResult2TargetType,EventResult2TargetID,EventResult2Value,EventResult3Type,EventResult3TargetType,EventResult3TargetID,EventResult3Value,Active,WriterNote
EVT_ACT_W1_FAYE_SHIP,"망가진 배, 살아 있는 기술자 개방",수송선 기술 상태를 더 깊게 볼 기회를 연다.,해당 캐릭터에게 새로운 퀘스트 상호작용이 생긴다.,SILENT,"망가진 배, 살아 있는 기술자 개방",,QST_W1_CHAR_FAYE_01_SHIP,QSTEP_W1_CHAR_FAYE_01_SHIP_01,,ACTIVATE_QUEST,QUEST,QST_W1_CHAR_FAYE_01_SHIP,ACTIVE,,,,,,,,,TRUE,
EVT_ACT_W1_JINA_RATIONS,배급의 기준 개방,생활 자원 관리의 기준을 경험할 기회를 연다.,해당 캐릭터에게 새로운 퀘스트 상호작용이 생긴다.,SILENT,배급의 기준 개방,,QST_W1_SIDE_JINA_RATIONS,QSTEP_W1_SIDE_JINA_RATIONS_01,,ACTIVATE_QUEST,QUEST,QST_W1_SIDE_JINA_RATIONS,ACTIVE,,,,,,,,,TRUE,
EVT_ACT_W1_DIYA_SETTLE,사람들이 사는 방식 개방,거주지를 정착 공간의 관점에서 볼 기회를 연다.,해당 캐릭터에게 새로운 퀘스트 상호작용이 생긴다.,SILENT,사람들이 사는 방식 개방,,QST_W1_SIDE_DIYA_SETTLEMENT,QSTEP_W1_SIDE_DIYA_SETTLEMENT_01,,ACTIVATE_QUEST,QUEST,QST_W1_SIDE_DIYA_SETTLEMENT,ACTIVE,,,,,,,,,TRUE,
EVT_ACT_W1_BOR_SKY,하늘을 보는 사람 개방,기상 관측과 보리치의 역할을 배울 기회를 연다.,해당 캐릭터에게 새로운 퀘스트 상호작용이 생긴다.,SILENT,하늘을 보는 사람 개방,,QST_W1_SIDE_BORICHI_SKY,QSTEP_W1_SIDE_BORICHI_SKY_01,,ACTIVATE_QUEST,QUEST,QST_W1_SIDE_BORICHI_SKY,ACTIVE,,,,,,,,,TRUE,
EVT_W1_BEN_NAMES_DONE,묘지의 이름을 함께 보다,벤자민과 묘지를 연결하고 Week2 묘지 보존의 감정적 근거를 만든다.,벤자민의 말수가 줄고 특정 묘비 앞에서 오래 머문다.,SILENT,묘지의 이름을 함께 보다,,,,,SET_STATE,STATE,STA_W1_GRAVEYARD_VISITED,TRUE,,,,,,,,,TRUE,
EVT_W1_SAM_BURDEN_DONE,샘의 부담을 이해하다,샘의 판단이 권력이 아니라 책임에서 나온다는 걸 보여준다.,샘의 하루가 끝나도 처리할 일은 남아 있다.,SILENT,샘의 부담을 이해하다,,,,,,,,,,,,,,,,,TRUE,
EVT_W1_FAYE_SHIP_DONE,수송선 우선순위 파악,Week2/3 수송선 관련 선택에 앞선 기술 정보를 준다.,페이가 수송선의 핵심 손상 부위를 정리해 준다.,SILENT,수송선 우선순위 파악,,,,,SET_STATE,STATE,STA_W1_SHIP_REPAIR_PRIORITY_KNOWN,TRUE,,,,,,,,,TRUE,
EVT_W1_JINA_RATIONS_DONE,배급의 무게를 이해하다,지나의 자원 관리 판단을 단순한 인색함이 아니라 책임으로 이해시킨다.,배급표 뒤에 사람들의 사정이 보이기 시작한다.,SILENT,배급의 무게를 이해하다,,,,,,,,,,,,,,,,,TRUE,
EVT_W1_DIYA_SETTLE_DONE,거주지를 공동체로 보다,정착 가능성의 정서·사회적 근거를 미리 심는다.,임시 구조물 사이에서 생활의 흔적이 눈에 들어온다.,SILENT,거주지를 공동체로 보다,,,,,SET_STATE,STATE,STA_W1_SETTLEMENT_PERSPECTIVE_KNOWN,TRUE,,,,,,,,,TRUE,
EVT_W1_BOR_SKY_DONE,기상 관측 경험,Week2 폭풍 경고와 Week3 분석에서 보리치의 전문성을 미리 학습시킨다.,바람과 모래 이동을 보는 방식이 조금 익숙해진다.,SILENT,기상 관측 경험,,,,,,,,,,,,,,,,,TRUE,
EVT_W2_DAY8_STORM_WARNING,이상 기류,Week2의 핵심 목표를 '폭풍 전 준비'로 전환한다.,보리치의 경고와 관측 장비의 이상치가 동시에 나타난다.,STORY_POPUP,이상 기류,대규모 모래폭풍이 접근하고 있다. 규모는 크지만 아직 지속 기간은 알 수 없다.,QST_W2_MAIN_01_STORM_WARNING,QSTEP_W2_MAIN_01_STORM_WARNING_01,,ACTIVATE_QUEST,QUEST,QST_W2_MAIN_01_STORM_WARNING,ACTIVE,,,,,,,,,TRUE,
EVT_W2_STORM_CONFIRMED,대형 모래폭풍 접근 확인,막연한 징후를 실제 준비가 필요한 재난으로 확정한다.,보리치와 제이의 분석이 같은 결론을 가리킨다.,STORY_POPUP,대형 모래폭풍 접근 확인,폭풍은 외부 거주를 버틸 수 없는 수준이다. 피난처가 필요하다.,,,,ACTIVATE_QUEST,QUEST,QST_W2_MAIN_02_SHELTER,ACTIVE,,,,,,,,,TRUE,
EVT_W2_SHELTER_DECIDED,수송선을 피난처로 전환,Week2의 시간 경쟁을 시작하고 외부 보존 콘텐츠를 개방한다.,수송선이 '떠나는 배' 이전에 '7일을 버틸 피난처'로 재정의된다.,STORY_POPUP,수송선을 피난처로 전환,이제 사람과 물자를 옮겨야 한다. 동시에 밖에 남겨둘 것들도 결정해야 한다.,,,,ACTIVATE_QUEST,QUEST,QST_W2_MAIN_03_EVAC_PREP,ACTIVE,SET_STATE,STATE,STA_W2_PRESERVATION_OPEN,TRUE,,,,,TRUE,
EVT_W2_EVAC_READY,피난 준비 완료,반복 행동으로 쌓은 준비도가 Main 진행으로 환산되는 경험을 준다.,필수 인원·물자·공간의 준비가 최소 기준에 도달했다.,STORY_POPUP,피난 준비 완료,폭풍이 닿기 전에 수송선 문을 닫을 준비가 되었다.,,,,,,,,,,,,,,,,TRUE,QSTEP_W2_MAIN_03_EVAC_PREP_01이 이 Event를 듣고 Quest 완료.
EVT_W2_DAY14_SEAL_READY,마지막 외부 작업 종료,외부 탐색의 끝과 Week3 내부 맵 전환을 예고한다.,폭풍 전선이 시야를 덮기 시작하고 수송선 출입구에 마지막 퀘스트 마커가 뜬다.,OPEN_QUEST,마지막 외부 작업 종료,이제 남은 사람과 장비를 확인하고 문을 닫아야 한다.,QST_W2_MAIN_04_SEAL_SHIP,QSTEP_W2_MAIN_04_SEAL_SHIP_01,,ACTIVATE_QUEST,QUEST,QST_W2_MAIN_04_SEAL_SHIP,ACTIVE,,,,,,,,,TRUE,
EVT_W2_SHIP_SEALED,수송선 봉쇄,행성 허브 플레이를 끝내고 Week3 수송선 내부 플레이로 전환한다.,외부 출입구가 닫히고 모래가 선체를 때리는 소리만 남는다.,STORY_POPUP,수송선 봉쇄,모두 수송선 안으로 들어왔다. 폭풍이 끝날 때까지 밖으로 나갈 수 없다.,,,,,,,,,,,,,,,,TRUE,
EVT_ACT_W2_BEN_GRAVE,남겨둘 수 없는 것 개방,폭풍 대비 과정에서 선택적·캐릭터 중심 문제를 연다.,해당 인물/장소에 퀘스트 행동이 추가된다.,SILENT,남겨둘 수 없는 것 개방,,QST_W2_CHAR_BENJAMIN_02_GRAVES,QSTEP_W2_CHAR_BENJAMIN_02_GRAVES_01,,ACTIVATE_QUEST,QUEST,QST_W2_CHAR_BENJAMIN_02_GRAVES,ACTIVE,,,,,,,,,TRUE,
EVT_ACT_W2_DIYA_HOME,돌아올 집 개방,폭풍 대비 과정에서 선택적·캐릭터 중심 문제를 연다.,해당 인물/장소에 퀘스트 행동이 추가된다.,SILENT,돌아올 집 개방,,QST_W2_CHAR_DIYA_01_HOME,QSTEP_W2_CHAR_DIYA_01_HOME_01,,ACTIVATE_QUEST,QUEST,QST_W2_CHAR_DIYA_01_HOME,ACTIVE,,,,,,,,,TRUE,
EVT_ACT_W2_JINA_WATER,마지막 물 개방,폭풍 대비 과정에서 선택적·캐릭터 중심 문제를 연다.,해당 인물/장소에 퀘스트 행동이 추가된다.,SILENT,마지막 물 개방,,QST_W2_CHAR_JINA_01_WATER,QSTEP_W2_CHAR_JINA_01_WATER_01,,ACTIVATE_QUEST,QUEST,QST_W2_CHAR_JINA_01_WATER,ACTIVE,,,,,,,,,TRUE,
EVT_ACT_W2_FAYE_EQUIP,가져갈 것과 남길 것 개방,폭풍 대비 과정에서 선택적·캐릭터 중심 문제를 연다.,해당 인물/장소에 퀘스트 행동이 추가된다.,SILENT,가져갈 것과 남길 것 개방,,QST_W2_CHAR_FAYE_02_EQUIPMENT,QSTEP_W2_CHAR_FAYE_02_EQUIPMENT_01,,ACTIVATE_QUEST,QUEST,QST_W2_CHAR_FAYE_02_EQUIPMENT,ACTIVE,,,,,,,,,TRUE,
EVT_ACT_W2_SEEDS,온실의 씨앗 개방,폭풍 대비 과정에서 선택적·캐릭터 중심 문제를 연다.,해당 인물/장소에 퀘스트 행동이 추가된다.,SILENT,온실의 씨앗 개방,,QST_W2_SIDE_SEEDS,QSTEP_W2_SIDE_SEEDS_01,,ACTIVATE_QUEST,QUEST,QST_W2_SIDE_SEEDS,ACTIVE,,,,,,,,,TRUE,
EVT_ACT_W2_LAST_OBS,마지막 외부 관측 개방,폭풍 대비 과정에서 선택적·캐릭터 중심 문제를 연다.,해당 인물/장소에 퀘스트 행동이 추가된다.,SILENT,마지막 외부 관측 개방,,QST_W2_SIDE_LAST_OBSERVATION,QSTEP_W2_SIDE_LAST_OBSERVATION_01,,ACTIVATE_QUEST,QUEST,QST_W2_SIDE_LAST_OBSERVATION,ACTIVE,,,,,,,,,TRUE,
EVT_ACT_W2_PERSONAL_ITEMS,가져갈 수 있는 것 개방,폭풍 대비 과정에서 선택적·캐릭터 중심 문제를 연다.,해당 인물/장소에 퀘스트 행동이 추가된다.,SILENT,가져갈 수 있는 것 개방,,QST_W2_SIDE_PERSONAL_ITEMS,QSTEP_W2_SIDE_PERSONAL_ITEMS_01,,ACTIVATE_QUEST,QUEST,QST_W2_SIDE_PERSONAL_ITEMS,ACTIVE,,,,,,,,,TRUE,
EVT_W2_BEN_GRAVE_PRESERVE,외부 보존을 선택하다,묘지 보존에 시간을 쓴 결과를 기록한다.,외부 시설에 실제 보강 흔적이 남는다.,SILENT,외부 보존을 선택하다,,,,,ADD_STATE,STATE,STA_PRESERVE_GRAVEYARD,2,COMPLETE_QUEST,QUEST,QST_W2_CHAR_BENJAMIN_02_GRAVES,COMPLETED,,,,,TRUE,
EVT_W2_DIYA_HOME_PRESERVE,외부 보존을 선택하다,거주지 보존에 시간을 쓴 결과를 기록한다.,외부 시설에 실제 보강 흔적이 남는다.,SILENT,외부 보존을 선택하다,,,,,ADD_STATE,STATE,STA_PRESERVE_SETTLEMENT,2,COMPLETE_QUEST,QUEST,QST_W2_CHAR_DIYA_01_HOME,COMPLETED,,,,,TRUE,
EVT_W2_JINA_WATER_PRESERVE,외부 보존을 선택하다,오아시스 설비 보존을 기록한다.,외부 시설에 실제 보강 흔적이 남는다.,SILENT,외부 보존을 선택하다,,,,,ADD_STATE,STATE,STA_PRESERVE_OASIS,2,COMPLETE_QUEST,QUEST,QST_W2_CHAR_JINA_01_WATER,COMPLETED,,,,,TRUE,
EVT_W2_FAYE_EQUIP_PRESERVE,외부 보존을 선택하다,외부 수송선 설비 보존을 기록한다.,외부 시설에 실제 보강 흔적이 남는다.,SILENT,외부 보존을 선택하다,,,,,ADD_STATE,STATE,STA_PRESERVE_SHIP,2,COMPLETE_QUEST,QUEST,QST_W2_CHAR_FAYE_02_EQUIPMENT,COMPLETED,,,,,TRUE,
EVT_W2_BEN_GRAVE_WITHDRAW,묘지에서 철수,사람의 생존을 우선하며 묘지 보존을 포기한 선택을 기록한다.,최소한의 기록만 들고 묘지를 떠난다.,SILENT,묘지에서 철수,,,,,COMPLETE_QUEST,QUEST,QST_W2_CHAR_BENJAMIN_02_GRAVES,COMPLETED,,,,,,,,,TRUE,
EVT_W2_DIYA_HOME_WITHDRAW,거주지에서 철수,생활 공간 보존보다 피난을 우선한 선택을 기록한다.,필수 기록만 챙기고 구조물은 폭풍에 맡긴다.,SILENT,거주지에서 철수,,,,,COMPLETE_QUEST,QUEST,QST_W2_CHAR_DIYA_01_HOME,COMPLETED,,,,,,,,,TRUE,
EVT_W2_JINA_WATER_WITHDRAW,물을 수송선으로 옮기다,정착 기반보다 Week3 생존 보급을 우선한다.,보관 가능한 물을 최대한 수송선 안으로 옮긴다.,SILENT,물을 수송선으로 옮기다,,,,,ADD_STATE,STATE,STA_W3_SUPPLY_STABILITY,1,COMPLETE_QUEST,QUEST,QST_W2_CHAR_JINA_01_WATER,COMPLETED,,,,,TRUE,
EVT_W2_FAYE_EQUIP_WITHDRAW,부품을 회수하다,폭풍 이후 복구 가능성보다 Week3 기술 안정성을 우선한다.,외부 설비에서 쓸 수 있는 부품을 뜯어 내부로 가져온다.,SILENT,부품을 회수하다,,,,,ADD_STATE,STATE,STA_W3_TECH_STABILITY,1,COMPLETE_QUEST,QUEST,QST_W2_CHAR_FAYE_02_EQUIPMENT,COMPLETED,,,,,TRUE,
EVT_W2_SEEDS_PRESERVED,씨앗을 보존하다,정착 하드 엔딩에 장기 재배 가능성을 남긴다.,씨앗과 재배 장비가 별도 보호 상자에 들어간다.,SILENT,씨앗을 보존하다,,,,,SET_STATE,STATE,STA_W2_SEEDS_PRESERVED,TRUE,COMPLETE_QUEST,QUEST,QST_W2_SIDE_SEEDS,COMPLETED,,,,,TRUE,
EVT_W2_SEEDS_USED,씨앗 여유분을 현재 보급으로 전환,장기 가능성을 줄이고 Week3 보급을 강화한다.,재배 여유분이 현재 식량·자원으로 전환된다.,SILENT,씨앗 여유분을 현재 보급으로 전환,,,,,ADD_STATE,STATE,STA_W3_SUPPLY_STABILITY,1,COMPLETE_QUEST,QUEST,QST_W2_SIDE_SEEDS,COMPLETED,,,,,TRUE,
EVT_W2_LAST_OBS_DONE,폭풍 직전 기준 자료 확보,Week3 조사에서 플레이어가 과거 투자 이점을 체감하게 한다.,폭풍 직전의 지형·기상 데이터가 안전하게 저장된다.,SILENT,폭풍 직전 기준 자료 확보,,,,,SET_STATE,STATE,STA_W3_PRE_STORM_DATA,TRUE,,,,,,,,,TRUE,
EVT_W2_ITEMS_STRICT,필수품만 반입,보급 효율을 우선한 결정을 기록한다.,수송선 내부 공간이 깔끔하게 정리되지만 개인 물품은 거의 남지 않는다.,SILENT,필수품만 반입,,,,,ADD_STATE,STATE,STA_W3_SUPPLY_STABILITY,1,COMPLETE_QUEST,QUEST,QST_W2_SIDE_PERSONAL_ITEMS,COMPLETED,,,,,TRUE,
EVT_W2_ITEMS_FLEX,일부 개인 물품 허용,생활 안정과 사람의 정서적 흔적을 우선한 결정을 기록한다.,거주 구역 곳곳에 각자의 작은 개인 물품이 남는다.,SILENT,일부 개인 물품 허용,,,,,SET_STATE,STATE,STA_W2_PERSONAL_ITEMS_FLEXIBLE,TRUE,ADD_STATE,STATE,STA_W3_HABIT_STABILITY,1,COMPLETE_QUEST,QUEST,QST_W2_SIDE_PERSONAL_ITEMS,COMPLETED,TRUE,
EVT_W3_STORM_HITS,폭풍이 수송선을 집어삼키다,Week3 공간 전환과 즉각적 위기 선택을 동시에 보여준다.,수송선 전체가 흔들리고 일부 계통의 전력이 떨어진다.,STORY_POPUP,폭풍이 수송선을 집어삼키다,폭풍이 시작됐다. 남은 전력을 어디에 먼저 보낼지 즉시 결정해야 한다.,QST_W3_MAIN_01_CHAOS,QSTEP_W3_MAIN_01_CHAOS_01,CHS_EVT_W3_POWER_PRIORITY,ACTIVATE_QUEST,QUEST,QST_W3_MAIN_01_CHAOS,ACTIVE,,,,,,,,,TRUE,
EVT_W3_CHAOS_STABILIZED,첫날의 혼란 수습,즉시 위기에서 장기적인 폭풍 분석 단계로 전환한다.,네 구역의 보고 체계가 정리되고 사람들의 움직임이 조금 안정된다.,SILENT,첫날의 혼란 수습,,,,,ACTIVATE_QUEST,QUEST,QST_W3_MAIN_02_STORM_ANALYSIS,ACTIVE,,,,,,,,,TRUE,
EVT_W3_PATTERN_FOUND,폭풍 패턴 발견,반복 관측이 서사적 진전으로 환산되는 순간을 만든다.,관측 그래프에서 반복되는 폭풍 구조가 드러난다.,STORY_POPUP,폭풍 패턴 발견,폭풍은 무작위가 아니다. 이제 피해 범위와 종료 시점을 계산할 수 있다.,,,,,,,,,,,,,,,,TRUE,QSTEP_W3_MAIN_02_STORM_ANALYSIS_01 → Step2.
EVT_W3_FORECAST_READY,종료 시점 계산 완료,제이와 보리치의 전문성이 실제 미래 판단 정보로 결실을 맺는다.,Day 21 무렵 폭풍이 약화될 가능성이 수치와 지도에 표시된다.,STORY_POPUP,종료 시점 계산 완료,폭풍의 끝이 보인다. 이제 이 사실을 사람들에게 알려야 한다.,,,,ACTIVATE_QUEST,QUEST,QST_W3_MAIN_03_FORECAST,ACTIVE,,,,,,,,,TRUE,
EVT_W3_FORECAST_ANNOUNCED,폭풍의 끝을 발표하다,Week3의 질문을 '얼마나 버티나'에서 '그 뒤 어떻게 살 것인가'로 전환한다.,사람들이 처음으로 Day 21 이후의 선택을 서로 이야기하기 시작한다.,STORY_POPUP,폭풍의 끝을 발표하다,폭풍은 끝난다. 이제 남는 문제는 그 뒤 어디에서 살아갈 것인가다.,,,,SET_STATE,STATE,STA_W3_FUTURE_TALKS_OPEN,TRUE,ACTIVATE_QUEST,QUEST,QST_W3_MAIN_04_FUTURE,ACTIVE,,,,,TRUE,
EVT_ACT_W3_FUTURE_SAM,샘의 대답 개방,폭풍 종료 예측 이후 각 인물의 미래 입장 대화를 연다.,해당 인물에게 '폭풍 뒤의 삶' 퀘스트 상호작용이 생긴다.,SILENT,샘의 대답 개방,,QST_W3_CHAR_SAM_02_FUTURE,QSTEP_W3_CHAR_SAM_02_FUTURE_01,,ACTIVATE_QUEST,QUEST,QST_W3_CHAR_SAM_02_FUTURE,ACTIVE,,,,,,,,,TRUE,
EVT_ACT_W3_FUTURE_JINA,지나의 대답 개방,폭풍 종료 예측 이후 각 인물의 미래 입장 대화를 연다.,해당 인물에게 '폭풍 뒤의 삶' 퀘스트 상호작용이 생긴다.,SILENT,지나의 대답 개방,,QST_W3_CHAR_JINA_02_FUTURE,QSTEP_W3_CHAR_JINA_02_FUTURE_01,,ACTIVATE_QUEST,QUEST,QST_W3_CHAR_JINA_02_FUTURE,ACTIVE,,,,,,,,,TRUE,
EVT_ACT_W3_FUTURE_FAYE,페이의 대답 개방,폭풍 종료 예측 이후 각 인물의 미래 입장 대화를 연다.,해당 인물에게 '폭풍 뒤의 삶' 퀘스트 상호작용이 생긴다.,SILENT,페이의 대답 개방,,QST_W3_CHAR_FAYE_03_FUTURE,QSTEP_W3_CHAR_FAYE_03_FUTURE_01,,ACTIVATE_QUEST,QUEST,QST_W3_CHAR_FAYE_03_FUTURE,ACTIVE,,,,,,,,,TRUE,
EVT_ACT_W3_FUTURE_BEN,벤자민의 대답 개방,폭풍 종료 예측 이후 각 인물의 미래 입장 대화를 연다.,해당 인물에게 '폭풍 뒤의 삶' 퀘스트 상호작용이 생긴다.,SILENT,벤자민의 대답 개방,,QST_W3_CHAR_BENJAMIN_03_FUTURE,QSTEP_W3_CHAR_BENJAMIN_03_FUTURE_01,,ACTIVATE_QUEST,QUEST,QST_W3_CHAR_BENJAMIN_03_FUTURE,ACTIVE,,,,,,,,,TRUE,
EVT_ACT_W3_FUTURE_BOR,보리치의 대답 개방,폭풍 종료 예측 이후 각 인물의 미래 입장 대화를 연다.,해당 인물에게 '폭풍 뒤의 삶' 퀘스트 상호작용이 생긴다.,SILENT,보리치의 대답 개방,,QST_W3_CHAR_BORICHI_01_FUTURE,QSTEP_W3_CHAR_BORICHI_01_FUTURE_01,,ACTIVATE_QUEST,QUEST,QST_W3_CHAR_BORICHI_01_FUTURE,ACTIVE,,,,,,,,,TRUE,
EVT_ACT_W3_FUTURE_DIYA,디야의 대답 개방,폭풍 종료 예측 이후 각 인물의 미래 입장 대화를 연다.,해당 인물에게 '폭풍 뒤의 삶' 퀘스트 상호작용이 생긴다.,SILENT,디야의 대답 개방,,QST_W3_CHAR_DIYA_02_FUTURE,QSTEP_W3_CHAR_DIYA_02_FUTURE_01,,ACTIVATE_QUEST,QUEST,QST_W3_CHAR_DIYA_02_FUTURE,ACTIVE,,,,,,,,,TRUE,
EVT_W3_SAM_LEAVE,샘이 떠나는 쪽으로 기울다,플레이어의 대화 선택이 인물의 최종 노선 입장에 실제 영향을 주게 한다.,샘이 떠나는 쪽으로 기울다.,SILENT,샘이 떠나는 쪽으로 기울다,,,,,SET_STATE,STATE,STA_STANCE_SAM,LEAVE,ADD_STATE,STATE,STA_W3_FUTURE_TALKS_DONE,1,COMPLETE_QUEST,QUEST,QST_W3_CHAR_SAM_02_FUTURE,COMPLETED,TRUE,
EVT_W3_SAM_STAY,샘이 정착 가능성을 인정하다,플레이어의 대화 선택이 인물의 최종 노선 입장에 실제 영향을 주게 한다.,샘이 정착 가능성을 인정하다.,SILENT,샘이 정착 가능성을 인정하다,,,,,SET_STATE,STATE,STA_STANCE_SAM,STAY,ADD_STATE,STATE,STA_W3_FUTURE_TALKS_DONE,1,COMPLETE_QUEST,QUEST,QST_W3_CHAR_SAM_02_FUTURE,COMPLETED,TRUE,
EVT_W3_JINA_LEAVE,지나가 출항을 지지하다,플레이어의 대화 선택이 인물의 최종 노선 입장에 실제 영향을 주게 한다.,지나가 출항을 지지하다.,SILENT,지나가 출항을 지지하다,,,,,SET_STATE,STATE,STA_STANCE_JINA,LEAVE,ADD_STATE,STATE,STA_W3_FUTURE_TALKS_DONE,1,COMPLETE_QUEST,QUEST,QST_W3_CHAR_JINA_02_FUTURE,COMPLETED,TRUE,
EVT_W3_JINA_STAY,지나가 정착을 다시 계산하다,플레이어의 대화 선택이 인물의 최종 노선 입장에 실제 영향을 주게 한다.,지나가 정착을 다시 계산하다.,SILENT,지나가 정착을 다시 계산하다,,,,,SET_STATE,STATE,STA_STANCE_JINA,STAY,ADD_STATE,STATE,STA_W3_FUTURE_TALKS_DONE,1,COMPLETE_QUEST,QUEST,QST_W3_CHAR_JINA_02_FUTURE,COMPLETED,TRUE,
